[2026-01-28 16:56:04.763604] Looking for connection...
[2026-01-28 16:56:06.745238] Looking for connection...
[2026-01-28 16:56:08.748860] Looking for connection...
[2026-01-28 16:56:10.753308] Looking for connection...
[2026-01-28 16:56:12.756994] Looking for connection...
[2026-01-28 16:56:14.760423] Looking for connection...
[2026-01-28 16:56:16.763716] Looking for connection...
[2026-01-28 16:56:18.766699] Looking for connection...
[2026-01-28 16:56:20.769961] Looking for connection...
[2026-01-28 16:56:22.772955] Looking for connection...
[2026-01-28 16:56:24.776222] Looking for connection...
[2026-01-28 16:56:26.779269] Looking for connection...
[2026-01-28 16:56:28.782651] Looking for connection...
[2026-01-28 16:56:30.786023] Looking for connection...
[2026-01-28 16:56:32.789103] Looking for connection...
[2026-01-28 16:56:34.802536] Looking for connection...
[2026-01-28 16:56:36.807991] Looking for connection...
[2026-01-28 16:56:38.825881] Looking for connection...
[2026-01-28 16:56:40.834242] Looking for connection...
[2026-01-28 16:56:42.842156] Looking for connection...
[2026-01-28 16:56:44.848716] Looking for connection...
[2026-01-28 16:56:46.857614] Looking for connection...
[2026-01-28 16:56:48.864422] Looking for connection...
[2026-01-28 16:56:50.872419] Looking for connection...
[2026-01-28 16:56:52.879298] Looking for connection...
[2026-01-28 16:56:54.887261] Looking for connection...
[2026-01-28 16:56:56.893858] Looking for connection...
[2026-01-28 16:56:58.901842] Looking for connection...
[2026-01-28 16:57:00.909639] Looking for connection...
[2026-01-28 16:57:02.923523] Looking for connection...
[2026-01-28 16:57:04.930168] Looking for connection...
[2026-01-28 16:57:06.942047] Looking for connection...
[2026-01-28 16:57:08.953314] Looking for connection...
[2026-01-28 16:57:10.960587] Looking for connection...
[2026-01-28 16:57:12.968596] Looking for connection...
[2026-01-28 16:57:14.976791] Looking for connection...
[2026-01-28 16:57:16.985565] Looking for connection...
[2026-01-28 16:57:18.992835] Looking for connection...
[2026-01-28 16:57:21.000535] Looking for connection...
[2026-01-28 16:57:23.008272] Looking for connection...
[2026-01-28 16:57:25.016445] Looking for connection...
[2026-01-28 16:57:27.024593] Looking for connection...
[2026-01-28 16:57:29.030499] Looking for connection...
[2026-01-28 16:57:31.037584] Looking for connection...
[2026-01-28 16:57:33.044433] Looking for connection...
[2026-01-28 16:57:35.057105] Looking for connection...
[2026-01-28 16:57:37.064417] Looking for connection...
[2026-01-28 16:57:39.071717] Looking for connection...
[2026-01-28 16:57:41.081268] Looking for connection...
[2026-01-28 16:57:43.088211] Looking for connection...
[2026-01-28 16:57:45.097072] Looking for connection...
[2026-01-28 16:57:47.105893] Looking for connection...
[2026-01-28 16:57:49.112051] Looking for connection...
[2026-01-28 16:57:51.120346] Looking for connection...
[2026-01-28 16:57:53.128699] Looking for connection...
[2026-01-28 16:57:55.138814] Looking for connection...
[2026-01-28 16:57:57.144634] Looking for connection...
[2026-01-28 16:57:58.088186] Got it
[2026-01-28 16:57:58.091115] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-28 16:58:00.376004] 64 bytes from 172.16.0.1: icmp_seq=3 ttl=64 time=1870 ms
[2026-01-28 16:58:00.720113] 64 bytes from 172.16.0.1: icmp_seq=5 ttl=64 time=1803 ms
[2026-01-28 16:58:01.059172] 64 bytes from 172.16.0.1: icmp_seq=7 ttl=64 time=1730 ms
[2026-01-28 16:58:02.734088] 64 bytes from 172.16.0.1: icmp_seq=15 ttl=64 time=1770 ms
[2026-01-28 16:58:03.032099] 64 bytes from 172.16.0.1: icmp_seq=16 ttl=64 time=1868 ms
[2026-01-28 16:58:04.109098] 64 bytes from 172.16.0.1: icmp_seq=21 ttl=64 time=1920 ms
[2026-01-28 16:58:05.869452] 64 bytes from 172.16.0.1: icmp_seq=30 ttl=64 time=1840 ms
[2026-01-28 16:58:06.253397] 64 bytes from 172.16.0.1: icmp_seq=32 ttl=64 time=1816 ms
[2026-01-28 16:58:12.534010] 64 bytes from 172.16.0.1: icmp_seq=61 ttl=64 time=2137 ms
[2026-01-28 16:58:13.882212] 64 bytes from 172.16.0.1: icmp_seq=68 ttl=64 time=2056 ms
[2026-01-28 16:58:14.053132] 64 bytes from 172.16.0.1: icmp_seq=70 ttl=64 time=1816 ms
[2026-01-28 16:58:14.184376] 64 bytes from 172.16.0.1: icmp_seq=71 ttl=64 time=1743 ms
[2026-01-28 16:58:15.224020] 64 bytes from 172.16.0.1: icmp_seq=78 ttl=64 time=1347 ms
[2026-01-28 16:58:16.987093] 64 bytes from 172.16.0.1: icmp_seq=85 ttl=64 time=1685 ms
[2026-01-28 16:58:17.605122] 64 bytes from 172.16.0.1: icmp_seq=88 ttl=64 time=1684 ms
[2026-01-28 16:58:18.292130] 64 bytes from 172.16.0.1: icmp_seq=93 ttl=64 time=1343 ms
[2026-01-28 16:58:20.949299] 64 bytes from 172.16.0.1: icmp_seq=105 ttl=64 time=1540 ms
[2026-01-28 16:58:21.999883] 64 bytes from 172.16.0.1: icmp_seq=111 ttl=64 time=1350 ms
[2026-01-28 16:58:22.130537] 64 bytes from 172.16.0.1: icmp_seq=112 ttl=64 time=1272 ms
[2026-01-28 16:58:23.262081] 64 bytes from 172.16.0.1: icmp_seq=117 ttl=64 time=1385 ms
[2026-01-28 16:58:24.389314] 64 bytes from 172.16.0.1: icmp_seq=123 ttl=64 time=1292 ms
[2026-01-28 16:58:27.186068] 64 bytes from 172.16.0.1: icmp_seq=137 ttl=64 time=1228 ms
[2026-01-28 16:58:28.050606] 64 bytes from 172.16.0.1: icmp_seq=142 ttl=64 time=1068 ms
[2026-01-28 16:58:28.341240] 64 bytes from 172.16.0.1: icmp_seq=144 ttl=64 time=952 ms
[2026-01-28 16:58:29.335222] 64 bytes from 172.16.0.1: icmp_seq=149 ttl=64 time=923 ms
[2026-01-28 16:58:30.554167] 64 bytes from 172.16.0.1: icmp_seq=154 ttl=64 time=1125 ms
[2026-01-28 16:58:31.169087] 64 bytes from 172.16.0.1: icmp_seq=157 ttl=64 time=1128 ms
[2026-01-28 16:58:32.277544] 64 bytes from 172.16.0.1: icmp_seq=162 ttl=64 time=1208 ms
[2026-01-28 16:58:33.377043] 64 bytes from 172.16.0.1: icmp_seq=168 ttl=64 time=1083 ms
[2026-01-28 16:58:34.887611] 64 bytes from 172.16.0.1: icmp_seq=176 ttl=64 time=957 ms
[2026-01-28 16:58:37.701313] 64 bytes from 172.16.0.1: icmp_seq=188 ttl=64 time=1312 ms
[2026-01-28 16:58:39.507228] 64 bytes from 172.16.0.1: icmp_seq=197 ttl=64 time=1274 ms
[2026-01-28 16:58:40.351862] 64 bytes from 172.16.0.1: icmp_seq=201 ttl=64 time=1303 ms
[2026-01-28 16:58:41.110038] 64 bytes from 172.16.0.1: icmp_seq=204 ttl=64 time=1451 ms
[2026-01-28 16:58:42.628897] 64 bytes from 172.16.0.1: icmp_seq=212 ttl=64 time=1337 ms
[2026-01-28 16:58:44.722145] 64 bytes from 172.16.0.1: icmp_seq=221 ttl=64 time=1592 ms
[2026-01-28 16:58:46.031186] 64 bytes from 172.16.0.1: icmp_seq=228 ttl=64 time=1461 ms
[2026-01-28 16:58:46.853245] 64 bytes from 172.16.0.1: icmp_seq=231 ttl=64 time=1672 ms
